호선,역명,요일,비율
2,당산,금,1.1667623795813817
2,당산,목,1.1477116702118986
2,당산,수,1.1575494317821746
2,당산,월,1.0956279469612202
2,당산,일,0.5101678565164979
2,당산,토,0.7780532869276097
2,당산,화,1.1441274280192164
2,대림,금,1.1142535393064334
2,대림,목,1.0968150821256253
2,대림,수,1.1091750662802293
2,대림,월,1.092272823909887
2,대림,일,0.66431493725983
2,대림,토,0.8213710955069013
2,대림,화,1.101797455611093
2,도림천,금,1.1725947690035414
2,도림천,목,1.1774035971086714
2,도림천,수,1.1859798140421356
2,도림천,월,1.1752509037492525
2,도림천,일,0.41164423251836424
2,도림천,토,0.6916645029500303
2,도림천,화,1.185462180628005
2,동대문역사문화공원,금,1.1383246436103993
2,동대문역사문화공원,목,1.077719012203185
2,동대문역사문화공원,수,1.0823526741648024
2,동대문역사문화공원,월,1.0089494550798817
2,동대문역사문화공원,일,0.7096568278751704
2,동대문역사문화공원,토,0.9361746809689032
2,동대문역사문화공원,화,1.0468227060976585
2,뚝섬,금,1.1908851400463663
2,뚝섬,목,1.1444423878155592
2,뚝섬,수,1.150702814448685
2,뚝섬,월,1.0820325594338254
2,뚝섬,일,0.5264954085493948
2,뚝섬,토,0.7739853766976379
2,뚝섬,화,1.131456313008531
2,문래,금,1.1916642573891079
2,문래,목,1.1860503051447382
2,문래,수,1.1967116100717008
2,문래,월,1.1511579119475384
2,문래,일,0.405647761273393
2,문래,토,0.6776776698697218
2,문래,화,1.1910904843038008
2,방배,금,1.1734095460522986
2,방배,목,1.2009558433600092
2,방배,수,1.2100235630190912
2,방배,월,1.1461670553676038
2,방배,일,0.4131837879810252
2,방배,토,0.6512642121671298
2,방배,화,1.2049959920528424
2,봉천,금,1.1476174137646618
2,봉천,목,1.1266085244836253
2,봉천,수,1.133524014507242
2,봉천,월,1.101308783208036
2,봉천,일,0.5525392334331842
2,봉천,토,0.8081415225841608
2,봉천,화,1.1302605080190888
2,사당,금,1.1614697423022935
2,사당,목,1.1052973895883478
2,사당,수,1.1011754148437056
2,사당,월,1.024455114391568
2,사당,일,0.6012335554481333
2,사당,토,0.9190664023217359
2,사당,화,1.0873023811042155
2,삼성,금,1.206627504620413
2,삼성,목,1.2007762732609004
2,삼성,수,1.181093689315101
2,삼성,월,1.0906585349859481
2,삼성,일,0.47649146692873573
2,삼성,토,0.7040402966839101
2,삼성,화,1.140312234204991
2,상왕십리,금,1.1676861361951127
2,상왕십리,목,1.1406411879971579
2,상왕십리,수,1.1518150994644782
2,상왕십리,월,1.1056507157514888
2,상왕십리,일,0.529403209593735
2,상왕십리,토,0.7715337402224007
2,상왕십리,화,1.1332699107756266
2,서울대입구,금,1.1566333668850584
2,서울대입구,목,1.1053782589857772
2,서울대입구,수,1.112371818494064
2,서울대입구,월,1.072134621506632
2,서울대입구,일,0.5857859417351764
2,서울대입구,토,0.8636751270132187
2,서울대입구,화,1.104020865380074
2,서초,금,1.163790169930493
2,서초,목,1.1700130522453984
2,서초,수,1.1976595445088296
2,서초,월,1.1350983852243712
2,서초,일,0.544531294131948
2,서초,토,0.6095827168599487
2,서초,화,1.1793248370990104
2,선릉,금,1.2229967373382935
2,선릉,목,1.2474950820246546
2,선릉,수,1.2601408363046516
2,선릉,월,1.2213869667668595
2,선릉,일,0.27481622456028054
2,선릉,토,0.5153416330717955
2,선릉,화,1.2578225199334656
2,성수,금,1.2073324906982625
2,성수,목,1.1813800923218003
2,성수,수,1.193362293542827
2,성수,월,1.133345456587764
2,성수,일,0.4457954884997462
2,성수,토,0.6642708498591661
2,성수,화,1.1745133284904348
2,시청,금,1.2228288065286033
2,시청,목,1.2252864110936903
2,시청,수,1.241846016935957
2,시청,월,1.1605450982763406
2,시청,일,0.3401915624647854
2,시청,토,0.579494440193895
2,시청,화,1.2298076645067273
2,신답,금,1.1795553903544145
2,신답,목,1.1606990633463843
2,신답,수,1.170438382261509
